epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1045.57,1.58156,1.7957,1.33158,0.59293,0.54961,0.53373,0.3314,1.23884,1.22448,1.20398,0.000470379,0.000470379,0.000470379
2,2093.48,1.26247,0.96889,1.09995,0.83972,0.47953,0.58707,0.37719,1.15651,1.16214,1.20634,0.000884229,0.000884229,0.000884229
3,3091.44,1.24897,0.89478,1.0931,0.72231,0.54249,0.63081,0.40165,1.12441,0.83299,1.16912,0.0012352,0.0012352,0.0012352
4,4102.07,1.28383,0.8585,1.09462,0.78149,0.61505,0.69179,0.46217,1.10707,0.88637,1.17749,0.00114606,0.00114606,0.00114606
5,5108.21,1.21243,0.79974,1.06963,0.61614,0.78559,0.73157,0.48605,1.07208,0.73118,1.1322,0.00105174,0.00105174,0.00105174
6,6099.13,1.182,0.77169,1.08508,0.88732,0.68836,0.76451,0.50278,1.09339,0.72215,1.15901,0.00095743,0.00095743,0.00095743
7,7113.02,1.15905,0.75507,1.07483,0.82394,0.69069,0.73721,0.4736,1.12272,0.74435,1.16949,0.000863116,0.000863116,0.000863116
8,8101.21,1.15385,0.70408,1.06531,0.88831,0.71627,0.81016,0.53565,1.04692,0.64713,1.10999,0.000768802,0.000768802,0.000768802
9,9090.7,1.10745,0.66014,1.05563,0.83339,0.73727,0.81205,0.56616,1.01888,0.64678,1.10469,0.000674488,0.000674488,0.000674488
10,10312.6,1.11953,0.63929,1.0445,0.91599,0.72153,0.79669,0.54456,1.06129,0.64888,1.12962,0.000580174,0.000580174,0.000580174
11,27550.2,1.08101,0.59792,1.03045,0.90332,0.73653,0.80294,0.55456,1.01639,0.59307,1.10129,0.00048586,0.00048586,0.00048586
12,29209.6,1.07812,0.58085,1.03623,0.87647,0.75714,0.84246,0.585,0.9904,0.55581,1.07238,0.000391546,0.000391546,0.000391546
13,30920.3,1.05059,0.55897,1.01481,0.92852,0.76805,0.84282,0.58513,0.99137,0.57178,1.06686,0.000297232,0.000297232,0.000297232
14,1023.8,1.03682,0.53286,1.01477,0.91133,0.75588,0.847,0.5962,0.98419,0.5331,1.06447,0.000202918,0.000202918,0.000202918
15,2070.91,1.00461,0.51035,0.98928,0.93395,0.76513,0.85112,0.5908,0.98252,0.51647,1.05693,0.000108604,0.000108604,0.000108604
